archivo,duration,rms,tempo,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6
13 How Did It End_ (Live From Stockholm).mp3,247.56244897959184,0.119224384,[147.65625],0.045376999654145565,1900.6783716320185,2256.352656544278,3721.4886546738708,22.9736293061853,-208.46928,172.45723,-22.11912,28.397985,-12.000321,4.3637953,-11.004833,1.0171576,-1.0095029,-10.812759,-4.000582,-4.2451177,-8.3531065,0.43847317,0.41256428,0.39991805,0.49425018,0.5605929,0.43403065,0.39550084,0.39469406,0.5327,0.3755927,0.3666772,0.44421938,-0.031986842589739974,-0.281702942717146,0.12026897755444202,0.15259658013477195,0.0014539985668983039,-0.021280301108199257
13 Mastermind.mp3,191.0857142857143,0.26579508,[126.04801829],0.018877221903669725,1422.2634594214335,2370.6533759786266,2853.580496778928,22.289955300953626,-224.10907,148.14845,21.841616,45.1328,14.12432,20.551655,-3.5882537,13.887144,2.0378346,1.2560745,11.585988,-0.78023374,4.3416047,0.5954046,0.53714776,0.5206507,0.59953105,0.6743048,0.5422964,0.46312657,0.4680505,0.57981455,0.5869397,0.5744412,0.63768333,0.13274156013243374,-0.13234975163069854,-0.022673316458012138,0.10651463049155994,0.027887347841004825,-0.011676853974650967
14 Peter (Live From Stockholm).mp3,274.625306122449,0.12583688,[178.20581897],0.04165324951120271,1812.5997904504818,2205.2866012035684,3542.317053988982,22.653844006206594,-205.33046,174.85103,-20.70901,25.369904,-7.8371196,4.306545,-14.186961,-2.531722,-4.6979933,-10.5958395,-0.6610259,-2.3368368,-4.82963,0.663276,0.49155298,0.40678224,0.3531967,0.44244808,0.33345395,0.25837716,0.31046882,0.28684676,0.3402735,0.32924348,0.4592666,0.19571949064766056,0.2115829307454809,-0.004754812111265074,0.12281255967888678,-0.015088577005608086,0.029317812315827932
14 The Great War.mp3,240.40489795918367,0.22201031,[95.703125],0.04718531927609021,2645.6617297850926,3425.798547332475,5974.7749336350635,21.84686013517719,-120.78692,144.25858,-12.0124035,37.977295,-7.981846,21.643744,-17.158426,17.609024,-6.2435393,4.9767256,2.1770172,-0.13455872,-2.2477984,0.5544914,0.40720087,0.41900647,0.35261214,0.32951266,0.46703514,0.36856163,0.41319954,0.34296244,0.42473772,0.5435316,0.45136768,-0.03487884680772503,0.14697658401985214,0.032777454310521176,0.012016054121042499,0.004828576222657171,-0.014172999543035601
15 Bigger Than The Whole Sky.mp3,218.5665306122449,0.16785082,[109.95678191],0.020316348982125785,1287.5777294644504,2297.5712240280286,2388.6528531435915,20.678381518413442,-240.74193,165.8341,33.59131,39.050014,12.826042,17.071974,-5.5312257,12.84788,0.024283187,4.6514263,9.703103,-1.4115545,2.899367,0.49691185,0.50767916,0.4778781,0.48947287,0.47594246,0.51006657,0.58492637,0.5752092,0.6286027,0.5557983,0.5603918,0.52149695,-0.1608815254822735,-0.29309111242422875,0.004822344976449132,-0.010623233894046359,-0.03541525428381341,-0.011402431773999657
15 The Albatross (Dancing With Our Hands Tied - Live from Dublin).mp3,327.552,0.13064119,[156.25],0.053471797508466576,2375.5536019538035,2647.221097074407,4600.985256765118,22.406836194457757,-163.18248,162.3868,-51.174744,35.165295,-8.829443,10.850904,-16.444777,-3.36319,0.28847027,-10.32645,1.095213,-2.7119129,-7.2628465,0.3076996,0.26767075,0.42369086,0.5443697,0.41559318,0.38900054,0.32772556,0.40432465,0.3582676,0.3504378,0.46491343,0.33810014,-0.1854473028524293,0.16650900755109943,0.09395757787430432,-0.014278948889383131,0.008336070992048254,-0.008226221660595614
16 High Infidelity.mp3,231.52326530612245,0.22120585,[117.45383523],0.04217553169817471,2210.588274578124,2994.4374041662245,4815.923230591371,21.580371442796707,-156.68059,156.90257,5.0489883,35.893093,-16.318737,22.783154,-19.815418,10.418166,-5.590937,-4.652485,4.720664,-3.5912113,-1.5800629,0.5615162,0.44292462,0.46024507,0.38462812,0.29782143,0.36850256,0.2928176,0.31841382,0.2835896,0.39427435,0.5506532,0.47268143,-0.03771909292787981,0.14923585143552437,0.004129621037455994,-0.059551068587665235,-0.010186971091936324,-0.0029680444267653496
16 I Hate It Here (The Lakes - Live from Cardiff).mp3,323.88,0.12956803,[181.4516129],0.04515020807432321,2136.662128852072,2482.6440098947005,4149.489578530497,22.81319311990985,-190.7848,169.59395,-40.708965,24.749897,-13.663293,2.3127835,-19.818485,-8.756306,-4.5770144,-17.9126,-4.8888597,-6.3610587,-8.248608,0.35888156,0.2980589,0.41187304,0.47472602,0.29867765,0.31313732,0.30005336,0.40899608,0.2979294,0.30578372,0.4169181,0.34431443,-0.13522043827992797,0.24006610189460273,0.1408073750105764,-0.04698615281805016,0.028653628760635687,0.012527547120271779
17 thank You aimEe (Mean - Live from London)(1).mp3,350.472,0.11853705,[82.72058824],0.058750873220508565,2531.71620077076,2728.0506549802526,4962.682514380497,21.98111760643752,-160.89386,159.0833,-54.62863,35.823803,-11.802047,9.930515,-16.439552,-1.4300177,0.47799936,-7.0586367,0.039967414,-3.9999604,-5.9108725,0.3372939,0.38296923,0.53803194,0.40294468,0.27243456,0.2718147,0.43842077,0.5691402,0.4669443,0.48325405,0.3593431,0.3801643,0.24089955201833935,0.12934476538217793,0.12429320361680295,-0.10233158095294119,0.009610678053960828,-0.027871333559375874
17 thanK you aIMee (Mean - Live from London).mp3,350.472,0.11853705,[82.72058824],0.058750873220508565,2531.71620077076,2728.0506549802526,4962.682514380497,21.98111760643752,-160.89386,159.0833,-54.62863,35.823803,-11.802047,9.930515,-16.439552,-1.4300177,0.47799936,-7.0586367,0.039967414,-3.9999604,-5.9108725,0.3372939,0.38296923,0.53803194,0.40294468,0.27243456,0.2718147,0.43842077,0.5691402,0.4669443,0.48325405,0.3593431,0.3801643,0.24089955201833935,0.12934476538217793,0.12429320361680295,-0.10233158095294119,0.009610678053960828,-0.027871333559375874
"17 Would_ve, Could_ve, Should_ve.mp3",260.41469387755103,0.26639667,[156.60511364],0.03893038913083456,1958.1310940320286,2757.6951308375924,3906.261859285141,20.964077515858573,-114.79807,171.44151,-15.539466,36.159405,-5.9986095,29.529951,-15.067056,15.0181265,-0.9456309,0.5937574,4.6626654,1.1688268,-1.0851727,0.42029455,0.36723635,0.4285301,0.35039127,0.3577601,0.31313035,0.39370066,0.51976645,0.46100098,0.5277796,0.44613102,0.5117815,0.10589198589985441,0.04716337843014962,-0.004484982172690401,0.053477214164984965,0.0056882052231060996,-0.004041836072089916
18 Dear Reader.mp3,225.2538775510204,0.20057276,[107.66601562],0.02385443410312081,1647.114759004938,2528.434978938538,3586.4769523800705,21.82402702485596,-227.22392,137.63052,27.180101,42.267517,10.157897,18.810207,-3.1645324,14.850846,-0.49307784,1.021675,8.915741,1.0959659,1.3599174,0.6971453,0.61657923,0.61372113,0.51216424,0.45982462,0.4194429,0.44161126,0.5718005,0.49284858,0.4663294,0.43075788,0.51954424,0.14845465814922792,0.2372478345157275,0.01714513716120146,0.02977621962802395,0.025081254349691672,-0.01214357410820038
18 The Bolter (Getaway Car - Live from Edinburgh).mp3,308.904,0.14575334,[92.21311475],0.05165988648135359,2253.5753047646967,2529.1183737369365,4374.773664105663,22.011677973986625,-145.72997,169.55656,-52.145287,30.772532,-9.435819,11.8306,-9.014716,-0.21557158,3.8721447,-9.316592,1.2100761,-0.85963464,-3.7474482,0.50541425,0.48616573,0.48971415,0.40913433,0.37807366,0.37750575,0.42515582,0.48972806,0.3650428,0.35142845,0.30961058,0.37387758,0.13039386619820661,0.17694817524164222,0.005550464210023281,0.04720727704313919,-0.011176100227157726,-0.001955859007895759
19 You_re Losing Me (From The Vault).mp3,277.89061224489797,0.20008254,[103.359375],0.027302420713047292,1694.6932908819197,2522.4808127864453,3424.4729006354182,21.277174547980263,-235.72879,134.61412,21.593359,41.318115,8.528901,12.796777,-4.2358084,11.061998,-0.7591866,-0.4248143,5.3294125,-0.9615614,4.683295,0.6784407,0.566702,0.5231985,0.5050088,0.5797359,0.5292425,0.43974134,0.47986558,0.43507373,0.45597816,0.43646836,0.5225474,0.07121104452416971,0.11603462760255134,-0.04172884149324806,0.06260894510366358,0.0033810247349478676,-0.004545892781898012
20 Snow On The Beach (Feat. More Lana Del Rey).mp3,230.0081632653061,0.19415514,[109.95678191],0.03270133788865334,1847.973731369752,2620.6113819142033,3743.6830055056594,21.38506594028892,-175.4088,162.23822,-3.507734,36.95209,-0.9253253,18.14517,-6.1701255,9.166307,-3.9267774,-0.30194104,7.0055814,-4.9299164,-1.0985948,0.4227591,0.46901193,0.408915,0.3974744,0.44680193,0.39731976,0.41280726,0.36896467,0.4847375,0.5634629,0.45957825,0.47698477,0.11665084286645466,-0.18159786280598694,-0.09438402570637006,-0.026928694898820334,0.009333041178719848,-0.014141516271475654
20 The Prophecy (Long Story Short - Live From Lyon).mp3,304.296,0.13531013,[79.22535211],0.04537885134232158,2251.7399306686775,2622.9449734234963,4548.2905500736115,22.9295607715402,-171.18488,160.85674,-38.902176,33.73503,-3.6350636,11.425332,-8.95288,0.9201,6.4596543,-11.884321,0.62106854,-3.6905074,-7.0129743,0.6726637,0.5012148,0.36690953,0.25278533,0.26449072,0.30044043,0.38458732,0.4875669,0.3899894,0.34492743,0.3168906,0.4629348,0.12459623401511663,0.2629565329297,0.0644373611491522,0.1451415830419355,0.016842792490041204,0.028086969253053228
21 Karma (Feat. Ice Spice).mp3,201.534693877551,0.25680152,[90.66611842],0.052040334354657526,3011.8105178369474,3559.472206330674,6746.189170040577,21.627830855607566,-110.39177,124.68992,-15.875201,37.738506,-5.5684896,30.740765,-15.084929,16.900442,-3.5176818,9.44944,5.152689,6.255907,-0.5841902,0.40108955,0.3846019,0.41876572,0.465566,0.40520427,0.43387228,0.40073326,0.5132994,0.57929635,0.54204035,0.6176071,0.4407249,-0.19368351337077763,-0.03959372618492858,-0.06508697601559352,0.04433038217895757,0.043359281714968535,-0.027928361272633654
3 Fresh Out The Slammer (Acoustic Version).mp3,202.66666666666666,0.1405532,[87.59269068],0.03980318716166867,2195.884764983592,3027.3216687798326,4768.265528333906,21.9860679685609,-226.36916,136.14111,14.581889,46.653164,0.49141082,28.673262,-8.983526,11.856148,-3.3143888,-1.2508388,5.394656,-2.924691,-4.333754,0.33812597,0.3113997,0.2852765,0.29306006,0.3764384,0.34560114,0.3794513,0.34671813,0.48319033,0.6236207,0.52405775,0.45127162,0.2901252912211199,-0.1117292622455413,-0.18671370654219882,-0.08723456747109964,-0.026344851531735044,0.06377349776676418
4 Guilty As Sin_ (Acoustic Version) - Taylor Swift.mp3,250.46204081632652,0.17105007,[95.703125],0.052236293723057846,2788.318846440417,3559.080705320189,6152.016370254705,22.62910341709327,-160.2202,135.58807,1.4062904,35.337883,-3.8944895,25.473774,-16.67094,12.949655,-3.5755749,-0.43724376,5.242616,-0.2645762,-8.336523,0.28403705,0.41478348,0.5159057,0.4378991,0.43895534,0.34707722,0.411615,0.37849516,0.38221186,0.44464234,0.3372403,0.34497237,0.22873346510996292,-0.020721656801876563,0.028138045167185318,-0.13097441345371674,-0.006600177738772929,-0.021799877285420426
6 Who_s Afraid of Little Old Me (First Draft Phone Memo).mp3,336.58775510204083,0.18354829,[123.046875],0.028435898669244963,1036.7092517924586,1320.6584883696817,1975.675843093569,24.118146250077615,-235.40091,220.20338,-2.5672033,19.655584,22.648788,-6.995169,-1.83933,-1.6493863,-5.5847054,-3.633996,-0.6974052,4.414903,-14.528634,0.5991191,0.463266,0.47593626,0.390982,0.42221788,0.37233353,0.24471219,0.20699517,0.20938803,0.2928072,0.30177596,0.4875947,0.12198907627660328,0.041816746735666176,-0.02001811915734708,0.04150797334625194,-0.04612697221315526,-0.02297263538333551
8 My Boy Only Breaks His Favorite Toys (First Draft Phone Memo).mp3,191.712,0.21204914,[95.33898305],0.026072898483573494,1206.7725726598562,1711.7670145314764,2200.2301936129966,22.477317247578046,-207.29584,205.70177,10.260598,20.773113,11.077086,3.2578042,-2.0288122,0.48774874,-3.861144,-3.6402123,-1.8704051,3.7354195,-8.893036,0.73509234,0.47522023,0.35098553,0.30033416,0.35288098,0.31910792,0.31332803,0.35590824,0.32100996,0.4132539,0.4193189,0.56778675,0.13701162262698763,0.18947739032112246,0.03361072323737231,0.14335161415524086,-0.021069545200078633,0.014913217260388445
Aby Ngana Diop - Dieuleul Dieuleul [Senegal].mp3,276.3639002267574,0.24705555,[156.60511364],0.057553416594465445,2744.5508518633114,2974.425019813794,5807.605741965974,21.94534467014883,-115.191765,132.43823,-44.514053,72.79975,0.23313515,29.547213,1.1993393,11.732877,4.4429297,10.539918,3.2434363,0.6801055,7.6886806,0.5437402,0.50203335,0.47513968,0.47741136,0.5866416,0.655178,0.53161657,0.5459393,0.49852827,0.5237902,0.53311974,0.5175153,0.061155932794194554,0.02072952711357673,0.06379179877898623,0.10152602508044813,0.009150305640599796,-0.006454489407003603
Adalberto Santiago - La Noche Mas Linda.mp3,343.3545351473923,0.09349367,[101.33272059],0.07940942320900253,2968.2847329121178,2968.5286969685235,5706.564580251479,21.96957279703992,-180.14404,140.62602,-55.100857,32.191254,-11.862639,20.129574,-14.878818,9.046397,-7.1653833,0.76598626,-7.5582786,2.256833,-0.4529916,0.42883095,0.3638689,0.44817978,0.3452501,0.37845075,0.37488627,0.35034323,0.38994265,0.34088725,0.49452436,0.452538,0.38374025,0.13222441484000572,0.13716768003613355,-0.049407036162106704,-0.05103711238066373,0.00889375402646736,0.006327649829373905
Agrupacion Ilegal Los Imparciales - Norwegian Wood.mp3,230.85278911564626,0.2285185,[107.66601562],0.056125062861453356,2422.089014252949,2777.7295940524814,5172.946780413157,22.49348630144972,-113.19658,158.5536,-42.567772,32.456543,-21.3125,29.177282,-2.8325453,11.182546,4.6959476,6.643975,7.43114,7.2773237,9.104446,0.35158092,0.3637667,0.3861504,0.4031678,0.41496575,0.39450693,0.4699178,0.39139244,0.5213074,0.43502504,0.34685338,0.41954467,0.14053338662944115,-0.06582766335825038,-0.03512922626479091,0.057497705118639324,-0.019120455080292916,-0.041108900215400646
Alan Cosmos - Onua Gyae.mp3,363.51303854875283,0.19644706,[109.95678191],0.06774551076299064,3349.604198286099,3595.455311259544,7089.011608714789,21.80470708219498,-140.91718,113.00321,-20.300413,41.766777,-11.438315,23.76964,-6.8822603,3.849535,-8.392604,2.7564023,-6.206233,-2.0524077,-3.5864315,0.56400555,0.52145684,0.4859965,0.52651167,0.4523178,0.46288922,0.3686733,0.4124841,0.4611443,0.40546113,0.4286304,0.4640032,-0.014327217671822837,0.05052514237396784,0.014402975882536027,-0.011607364051263263,-0.00960974338932388,-0.013992286401205837
Alejandro Bernal - Martha Cecilia (Instrumental).mp3,152.97306122448978,0.13214758,[83.35433468],0.0861335610225203,3208.277325048851,2744.0856780280146,6300.186760074372,22.565369950573828,-174.87834,124.815125,-48.477776,70.42757,-25.32272,10.939734,2.256937,-2.232022,13.882241,-0.0752774,9.342565,-2.8383434,4.329898,0.45308903,0.40983698,0.44641924,0.39434493,0.47734368,0.46149766,0.37757245,0.45488206,0.34982845,0.33998066,0.36671734,0.45582435,0.10085391112813402,-0.07581229528039987,0.12236658391282848,0.08210986632275741,0.015985420893264327,-0.02849326407551936
Alfio Scandurra - Qu'est ce qui ne va pas _.mp3,218.93925170068027,0.17172022,[107.66601562],0.07010455712595451,2963.810039696704,3208.721432009865,5935.510172344794,21.12246988929184,-135.11682,139.46219,-37.421173,27.738144,-2.9901166,24.208355,-4.608634,12.540075,-5.053044,3.8450537,-3.8376448,5.4766684,-4.590686,0.59034103,0.47509104,0.43301073,0.54681957,0.5346794,0.55460536,0.43534946,0.49570924,0.51459914,0.4538182,0.45011723,0.4429825,-0.06508681894377791,0.005331940811988615,-0.039461033324496624,0.02934773544578821,-0.0038597190742649294,0.010244776256630533
Alma Africana - Caliventura.mp3,213.04308390022675,0.2028722,[103.359375],0.10691401034855048,3720.4423437158366,3031.9885470277127,6915.868518000551,22.11300650001679,-139.03023,107.64517,-46.089443,62.74167,-25.031971,19.2925,-3.1021597,14.800873,9.48159,-4.886665,6.2867627,-1.2462465,2.4897463,0.50023633,0.4267848,0.43300453,0.49166065,0.5792504,0.51015764,0.46165007,0.50047773,0.4746231,0.48734716,0.49130023,0.48628375,0.007163928499990066,0.06636260418554663,-0.061647409920203976,0.07346308616040073,-0.005226705606350679,-0.02378979431894034
Altin Gün - Goca Dünya.mp3,240.09333333333333,0.20562987,[97.50884434],0.05497359786780706,2596.43888263432,3061.0253475748314,5433.125989312591,21.96808912924781,-145.88213,138.49721,-22.707281,31.825146,0.9988872,24.010551,-2.5575595,4.256471,4.5915647,5.4251475,0.89365745,8.595074,-2.688801,0.48163745,0.39277345,0.38411337,0.43571594,0.4994757,0.42413813,0.4331679,0.40793675,0.38223723,0.42940158,0.4334679,0.5188376,0.1421749452653063,-0.06568151555735882,-0.008701952996159812,0.05213687306905444,0.01016686973299315,0.033261822920383925
"Anamía - Quizás, Quizás, Quizás.mp3",208.8712244897959,0.195892,[126.04801829],0.07894265600682286,3142.3250408122863,3286.2400782295317,6606.97822055559,21.282782802200764,-108.45974,129.67062,-33.690643,44.937557,-15.2252445,24.630264,-7.9040647,8.806412,-3.9193187,1.720943,-0.78239053,3.256832,-1.4982406,0.38340035,0.33576658,0.32934132,0.36063352,0.3803358,0.5505584,0.5145922,0.4518543,0.3831619,0.3999069,0.43713897,0.35922316,-0.03757692239855034,0.10040552608578868,-0.036566973937605274,-0.029272122086626214,-0.0049377192466043066,-0.000811322613299972
Bajofondo & Julieta Venegas - Pa' Bailar (Siempre Quiero Mas).mp3,218.96417233560092,0.2989574,[126.04801829],0.041439262896983194,2479.4347763096675,3149.539894156989,5486.178596148302,21.10113631543938,-108.13366,142.65787,-15.713505,41.74822,-5.951133,27.251566,-6.572717,13.537023,-1.7797414,6.4624825,-0.39262322,7.052049,-0.6452554,0.5619873,0.46729237,0.42784172,0.45825097,0.5434059,0.67380995,0.5649124,0.5217935,0.4971167,0.45342427,0.43950775,0.45268288,-0.050199181654173045,0.10685109206473976,-0.04010948338378714,0.0746317643183482,-0.012313771115950677,0.010649174654352766
Balkan Beat Box - Hermetico.mp3,308.7733333333333,0.19656962,[101.33272059],0.07152472117517672,3155.0697328086367,3425.1140609122035,6578.851001663196,21.28354859130391,-104.58756,131.91573,-38.060963,29.19168,-8.965356,19.168785,-8.030517,12.710733,-5.5438776,9.432184,0.6090368,9.524268,-3.4337585,0.41044295,0.4803672,0.47151673,0.41741112,0.44694033,0.5412243,0.65739834,0.5834408,0.49704596,0.45286366,0.49217674,0.47678834,0.007577074181743548,-0.11286394485063762,-0.02839521344734032,-0.17282372437530127,0.03534689323789912,0.045302997663406196
Banda Macho - La Noche Que Murió Chicago (The Night Chicago Died).mp3,189.16,0.15102404,[112.34714674],0.04745852201674032,2019.8954314128785,2376.2400343158233,3844.1545245178145,21.288111632310514,-180.6436,168.59996,-48.827095,26.377636,4.1347213,16.768316,5.1773095,6.5208516,7.206351,6.815607,-0.35013887,4.3216863,3.9303746,0.4931022,0.5254685,0.47608843,0.5226164,0.44790766,0.45796096,0.39419916,0.3728884,0.42803258,0.41578278,0.4654646,0.43798807,-0.07290556579835406,0.01887928194547948,-0.0061401441954502724,0.05631302607267521,0.007349843152856973,0.007344450178474949
Beck - Cellphone's Dead.mp3,285.791201814059,0.20908508,[107.66601562],0.06556258283147824,2865.927433463759,3194.924637402656,5954.616014212739,20.882098969091494,-133.24318,135.78891,-11.847155,45.896736,-13.648606,17.381472,-2.6673717,19.673021,-3.1385589,4.2510448,-0.32203594,-0.025406731,1.2264997,0.4763966,0.51850694,0.53685576,0.53146017,0.50664765,0.5541168,0.49691376,0.46189097,0.4814743,0.47612348,0.5451213,0.4785545,-0.05366690401745858,-0.0023490777224647653,-0.04238023353088266,-0.044363299235804475,-0.006875510849605572,-0.011458344895683361
Big Boi feat. Phantogram_Sade - CPU 2.0 _FREE DOWNLOAD_.mp3,283.9336281179138,0.16941601,[103.359375],0.06229857425149241,3092.759791280382,3554.944991252407,6895.145238166731,21.034449252970735,-151.90543,119.26432,1.9181446,57.472717,-10.740622,21.950579,-6.428401,11.649998,-4.4802365,5.208528,-0.20620355,1.5132864,1.4797975,0.47862032,0.41486964,0.41783786,0.46164408,0.5150843,0.5719081,0.5044077,0.5835202,0.6338518,0.51972425,0.50482035,0.46654743,-0.08507667432238017,0.060149874017717674,-0.03482394422951946,0.032646431387031015,-0.014540614798092308,-0.019600627308470512
