ACCOUNT_ID,y_hat
14883,0
1582,0
12784,0
8691,0
27398,1
28703,1
29436,1
17129,0
1626,0
6781,0
3392,1
28078,1
24325,0
18564,0
15647,1
6436,0
17657,0
887,0
2164,1
12846,0
23377,0
2265,0
4722,0
9679,1
10158,0
25757,0
27435,1
18448,0
28481,1
12275,1
24494,0
21258,0
1496,0
19665,0
3183,1
17414,0
10050,1
9629,0
17692,0
8450,0
25006,0
15207,1
15469,0
23712,0
5230,0
18220,1
4658,0
2949,1
910,0
11311,0
20517,1
26593,0
19563,0
25942,0
25976,0
14521,1
21585,0
4142,0
19963,1
19937,1
1765,1
14105,1
29916,1
10874,0
18996,0
7595,0
18114,0
3546,0
21696,0
24444,1
9154,0
21742,1
5526,0
25055,0
10295,0
9458,0
22822,0
9958,0
5384,1
19431,0
16680,0
12466,0
27509,0
20621,0
28976,1
17737,1
1288,0
21460,1
12033,1
25902,1
19630,0
10750,0
18804,0
16201,0
8189,0
17477,1
21641,0
1614,0
8390,0
11746,1
12410,0
24632,0
16804,1
12490,0
4730,0
9749,0
23894,1
16346,1
12639,0
3764,0
24850,0
24927,1
21377,0
26986,0
22434,0
13407,1
9106,0
18351,0
11567,0
14164,1
9185,0
24838,1
24365,0
20807,1
9906,1
20872,0
3239,0
15570,0
27726,1
131,0
17930,0
9575,0
3863,0
17658,0
28214,1
3081,0
26699,0
8960,0
25105,0
7289,1
6485,0
4318,1
17504,0
19404,1
5158,0
5741,0
15970,1
18772,0
17766,0
10484,0
15368,0
19355,0
2969,0
27375,1
10777,0
23759,1
26498,0
17779,1
8823,1
27992,0
29489,0
3095,0
3417,0
13385,0
12404,0
16202,1
8582,0
4724,1
21540,0
8246,0
25764,0
6484,1
12876,0
5803,1
24146,0
12650,0
3219,0
21108,1
18579,0
12089,0
26084,0
28496,1
27074,0
24596,1
1884,0
14504,1
29011,1
16771,1
6524,0
7038,1
5858,0
18037,0
22836,1
10500,0
11214,1
14769,0
18911,0
10799,1
26849,0
28789,0
11303,0
27420,0
26851,0
4560,1
15393,0
23111,0
4123,0
20815,0
19460,1
17613,1
19444,1
15190,0
5301,0
16604,0
25786,1
25150,1
10694,0
13321,1
6912,1
838,0
3082,0
20757,1
