ACCOUNT_ID|LIMIT_BAL|SEX|EDUCATION|MARRIAGE|AGE|PAY_0|PAY_2|PAY_3|PAY_4|PAY_5|PAY_6|BILL_AMT1|BILL_AMT2|BILL_AMT3|BILL_AMT4|BILL_AMT5|BILL_AMT6|PAY_AMT1|PAY_AMT2|PAY_AMT3|PAY_AMT4|PAY_AMT5|PAY_AMT6|default.payment.next.month
19885|200000.0|2|1|2|28|0|0|0|0|2|2|58833.0|61991.0|7357.0|9471.0|8538.0|7685.0|4100.0|3000.0|3000.0|0.0|1000.0|0.0|0
3676|180000.0|1|1|2|30|0|0|0|0|0|0|174297.0|152251.0|96399.0|87026.0|78137.0|58332.0|22000.0|4000.0|2000.0|5000.0|3000.0|3000.0|0
7732|220000.0|2|1|2|31|-1|-1|-2|-2|-2|-1|232.0|0.0|0.0|0.0|0.0|500.0|0.0|0.0|0.0|0.0|500.0|0.0|0
18106|50000.0|1|2|2|26|-1|0|0|0|0|0|49713.0|50581.0|46567.0|27211.0|28274.0|29005.0|2000.0|2000.0|1000.0|1500.0|1500.0|2000.0|0
28824|240000.0|2|1|2|30|-1|-1|-1|-1|-1|0|3376.0|0.0|4649.0|1528.0|7378.0|682.0|0.0|4649.0|1533.0|7378.0|0.0|0.0|0
17896|90000.0|1|1|1|53|0|0|0|0|0|0|23551.0|23607.0|22132.0|63204.0|19412.0|18099.0|2400.0|1582.0|770.0|1696.0|820.0|520.0|0
23784|30000.0|2|2|1|32|1|3|2|0|0|2|27807.0|27078.0|26363.0|27379.0|28953.0|28354.0|0.0|0.0|1758.0|2332.0|0.0|1400.0|1
10973|210000.0|1|1|1|39|-2|-2|-2|-1|-1|-2|980.0|0.0|650.0|3446.0|0.0|0.0|0.0|650.0|3446.0|0.0|0.0|0.0|1
21033|30000.0|1|3|1|41|0|0|0|0|0|2|19904.0|21267.0|22120.0|23746.0|25346.0|24801.0|2000.0|1510.0|3000.0|2000.0|0.0|3000.0|0
4195|230000.0|1|1|2|26|-1|-1|-1|-1|-1|-1|1099.0|19686.0|3036.0|4806.0|-1.0|1699.0|19686.0|4000.0|4806.0|0.0|1700.0|3658.0|0
22509|200000.0|1|2|2|28|0|0|0|0|0|0|162439.0|92626.0|73816.0|79033.0|79539.0|80584.0|4000.0|3000.0|6500.0|3013.0|5000.0|3000.0|0
18353|300000.0|2|1|2|31|-1|-1|-1|-1|-1|-1|7834.0|1086.0|316.0|316.0|316.0|316.0|1093.0|316.0|316.0|316.0|316.0|316.0|1
16236|80000.0|2|1|1|45|0|0|0|0|0|0|77402.0|78997.0|79821.0|79308.0|52172.0|50266.0|2900.0|3600.0|10002.0|1754.0|1765.0|3795.0|0
25590|80000.0|1|1|1|53|0|-1|0|0|0|2|9527.0|42908.0|42108.0|30610.0|32396.0|31743.0|42908.0|2400.0|1900.0|2600.0|0.0|2700.0|0
12917|250000.0|1|1|1|53|-2|-2|-2|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1
6491|80000.0|1|2|1|37|0|0|-1|-1|0|0|43311.0|16348.0|9360.0|6295.0|14844.0|29065.0|5377.0|9383.0|6295.0|10018.0|21939.0|5002.0|0
28866|80000.0|2|2|2|26|0|0|0|2|0|0|77037.0|71799.0|75743.0|67626.0|69081.0|70772.0|3300.0|5800.0|0.0|2700.0|3000.0|2700.0|0
8602|50000.0|2|2|2|33|0|0|0|0|0|0|12498.0|16264.0|17918.0|16072.0|17041.0|19028.0|4000.0|2000.0|1000.0|2000.0|2396.0|1000.0|0
10705|60000.0|1|2|1|29|2|2|2|2|2|2|40587.0|41642.0|40673.0|43342.0|44299.0|45222.0|2000.0|0.0|3348.0|1800.0|1800.0|0.0|1
3172|60000.0|2|3|1|32|0|0|0|0|0|0|63354.0|65299.0|67087.0|27121.0|26316.0|26476.0|3000.0|3490.0|1794.0|1311.0|953.0|1390.0|1
22058|20000.0|2|2|2|46|1|2|2|2|0|0|16626.0|16071.0|19205.0|19712.0|19249.0|38900.0|0.0|3473.0|1000.0|727.0|1100.0|1100.0|1
171|180000.0|2|3|2|26|-1|2|-1|2|2|-2|1728.0|1539.0|2703.0|1650.0|0.0|0.0|0.0|2703.0|0.0|0.0|0.0|0.0|0
23717|20000.0|1|2|1|27|0|0|0|0|-1|0|19339.0|20187.0|17592.0|14588.0|624.0|19945.0|1500.0|1295.0|1200.0|624.0|19563.0|628.0|0
20564|90000.0|2|2|2|35|-1|-1|-1|-2|-2|-2|2667.0|2667.0|0.0|0.0|0.0|0.0|2667.0|0.0|0.0|0.0|0.0|0.0|0
338|200000.0|1|1|1|40|-1|-1|-1|-1|-1|-1|6750.0|4501.0|6360.0|2620.0|5900.0|37084.0|5007.0|7096.0|2620.0|6000.0|17703.0|4914.0|1
16110|80000.0|2|2|1|48|0|0|0|0|0|0|79518.0|77757.0|32325.0|25670.0|30089.0|29395.0|2264.0|1420.0|1002.0|6005.0|2000.0|970.0|0
10631|500000.0|2|1|1|36|2|0|0|0|0|0|197231.0|175599.0|176947.0|178647.0|176380.0|172666.0|8500.0|8341.0|6600.0|6925.0|7225.0|6653.0|1
25745|30000.0|1|3|1|59|0|0|0|0|0|0|29272.0|29096.0|22088.0|21624.0|21833.0|18174.0|1404.0|1268.0|694.0|866.0|695.0|838.0|0
8118|210000.0|2|2|1|33|-1|-1|-1|-2|-1|-1|98.0|1090.0|0.0|0.0|580.0|500.0|1120.0|0.0|0.0|580.0|500.0|0.0|0
27011|220000.0|1|1|2|29|0|0|0|0|0|0|216096.0|189566.0|183838.0|157898.0|164860.0|168294.0|10110.0|12000.0|5852.0|10000.0|6610.0|5836.0|0
25660|90000.0|2|2|2|34|0|0|0|0|0|0|29239.0|14027.0|13559.0|14331.0|14948.0|15549.0|1518.0|1500.0|1000.0|1000.0|1000.0|5000.0|0
22176|360000.0|2|1|1|35|-2|-2|-2|-2|-2|-2|3925.0|5320.0|1016.0|7173.0|10763.0|4857.0|5352.0|1022.0|7408.0|10817.0|5044.0|27696.0|0
16976|80000.0|2|2|2|40|0|0|0|0|0|0|79390.0|79835.0|81229.0|82456.0|82854.0|80868.0|3200.0|4300.0|3340.0|3500.0|2999.0|3300.0|0
8831|80000.0|1|1|2|25|0|0|0|0|0|0|37325.0|38503.0|39429.0|24600.0|10000.0|0.0|2100.0|2000.0|1000.0|700.0|0.0|0.0|0
22765|20000.0|2|2|1|29|0|0|0|0|0|0|5586.0|6599.0|7615.0|8472.0|8640.0|8971.0|1268.0|1284.0|1141.0|309.0|470.0|321.0|1
7837|340000.0|2|1|2|31|0|0|0|0|0|0|112119.0|119230.0|259489.0|328507.0|283758.0|273018.0|25000.0|150000.0|90168.0|25001.0|10000.0|11000.0|0
16182|70000.0|2|2|1|31|0|0|0|0|0|0|71065.0|69311.0|70882.0|68678.0|69030.0|66791.0|2566.0|2775.0|2381.0|3000.0|2452.0|2608.0|0
18164|40000.0|1|2|2|26|1|2|2|2|2|2|11318.0|10845.0|12655.0|12156.0|20897.0|20411.0|0.0|2000.0|0.0|9000.0|0.0|1850.0|1
8363|130000.0|2|3|1|44|0|0|0|0|0|0|129329.0|123615.0|107284.0|54656.0|22534.0|8754.0|4505.0|3577.0|1231.0|2534.0|5012.0|2531.0|0
27890|350000.0|2|1|1|46|0|0|0|0|0|-1|102060.0|86242.0|63012.0|47172.0|19482.0|125875.0|10069.0|5631.0|20036.0|5000.0|125000.0|3000.0|0
9812|120000.0|2|2|2|39|0|0|0|2|0|0|20693.0|22033.0|24067.0|24372.0|24670.0|25617.0|2000.0|2400.0|1000.0|1000.0|1500.0|1500.0|1
14591|230000.0|2|2|2|28|0|0|0|0|0|0|23063.0|14024.0|11825.0|14765.0|12383.0|10008.0|2000.0|2000.0|5000.0|1000.0|2000.0|1000.0|0
26996|50000.0|2|1|2|24|-1|-1|-1|-1|-1|-1|629.0|351.0|784.0|696.0|800.0|341.0|351.0|789.0|699.0|910.0|341.0|210.0|0
9885|220000.0|2|2|1|37|2|0|0|2|0|0|48166.0|49164.0|46730.0|45680.0|46651.0|49507.0|2100.0|3900.0|0.0|1858.0|3800.0|0.0|0
29928|270000.0|2|1|1|31|0|0|0|0|0|0|86716.0|88329.0|91247.0|91823.0|93164.0|95211.0|6000.0|6005.0|4000.0|4000.0|4000.0|5000.0|0
17064|390000.0|2|2|1|33|-1|-1|-1|-1|-1|-1|8243.0|4610.0|7599.0|2947.0|86790.0|3628.0|4644.0|7677.0|2947.0|87476.0|3639.0|7769.0|0
25852|180000.0|2|2|1|34|2|2|2|2|2|2|95008.0|97088.0|98093.0|99578.0|101828.0|103986.0|4500.0|3500.0|4000.0|4000.0|4000.0|4000.0|1
21288|240000.0|2|1|2|28|-1|-1|-1|-1|-1|0|8590.0|6398.0|16271.0|27825.0|14489.0|37137.0|6398.0|16312.0|27829.0|14503.0|33633.0|10982.0|0
22367|50000.0|1|3|1|37|-1|-1|2|2|-1|-1|3057.0|3427.0|3207.0|0.0|1250.0|5245.0|3000.0|0.0|0.0|1250.0|5245.0|0.0|1
24160|210000.0|2|2|1|34|0|0|0|0|0|0|128553.0|109234.0|87567.0|83716.0|69925.0|64108.0|3762.0|3808.0|4177.0|2594.0|2442.0|2319.0|0
7730|50000.0|2|1|2|24|0|0|0|0|0|0|40246.0|41679.0|41688.0|32806.0|18609.0|19793.0|2128.0|3000.0|6000.0|1000.0|1500.0|705.0|0
12853|200000.0|1|2|2|30|0|0|0|0|0|0|179273.0|182624.0|188541.0|179380.0|41060.0|41258.0|6657.0|10000.0|8000.0|2000.0|2000.0|2000.0|0
